msno,city,bd,gender,registered_via,registration_init_time,age,registration_date,registration_year,registration_month,transaction_count,avg_plan_days,avg_plan_price,avg_amount_paid,auto_renew_rate,cancel_rate,is_churn
V7Np0XZoWpUN1JCRGLmD/46bJKI1M6CHg2GJGmVQLDE=,1.0,0.0,,7.0,20170215.0,,2017-02-15,2017.0,2.0,1.0,30.0,129.0,129.0,1.0,0.0,0
6nfF+uLh57kiHj74onknisGaun22FdlDFXpsR0ztzPQ=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
R+onxoFWN4aNGMkks4HtHVV95l2tnOz/Jw8Tt5jfczY=,5.0,42.0,,9.0,20141129.0,42.0,2014-11-29,2014.0,11.0,2.0,30.0,149.0,149.0,1.0,0.0,1
MDNvl0JsHUXRA4BBhOOQuJrYoFxn9kAIeMjbQzvXQ9k=,5.0,27.0,female,9.0,20101114.0,27.0,2010-11-14,2010.0,11.0,1.0,30.0,180.0,180.0,1.0,0.0,0
FCRDid5AnX5zrCxAMDIsPiaNPAw00xYWCWGABHyiGE8=,14.0,31.0,male,7.0,20120514.0,31.0,2012-05-14,2012.0,5.0,1.0,30.0,99.0,99.0,1.0,0.0,0
/kdqB6kLvpIt57jRc23nzsU+sdyPTmvTWfXD2QM1gPg=,22.0,33.0,female,3.0,20121210.0,33.0,2012-12-10,2012.0,12.0,1.0,30.0,149.0,149.0,1.0,0.0,0
X6kXbmFG617eFEK+1hw4GprkGtBIs4L1OIimEVXv/90=,1.0,0.0,,7.0,20151106.0,,2015-11-06,2015.0,11.0,1.0,30.0,99.0,99.0,1.0,0.0,0
QL9Mb6pDMpMN2aYxPSKyq6Ku63zsUQlL6wM+hzsRyVk=,,,,,,,,,,1.0,30.0,99.0,99.0,1.0,0.0,0
U40WvBQ8pTGAR30WG377Deu6gQBhfWokHgRXdfj+phE=,13.0,34.0,male,3.0,20150126.0,34.0,2015-01-26,2015.0,1.0,,,,,,,1
eO3vEbvoD484/wSHEtGNj7eflIkFCNA/l3cKTV0lZ3I=,5.0,25.0,female,3.0,20111211.0,25.0,2011-12-11,2011.0,12.0,1.0,30.0,149.0,149.0,1.0,0.0,0
EbZdhzppqsLcQ+yVaV5Ie/z1BC8yzBH9m+fU9Rew+rk=,18.0,0.0,,7.0,20151210.0,,2015-12-10,2015.0,12.0,2.0,30.0,149.0,149.0,1.0,0.0,0
q6crvXJVRBMigMoknoOCep9tpqD7CHQhKoAkBg2R+EY=,1.0,0.0,,7.0,20150824.0,,2015-08-24,2015.0,8.0,1.0,30.0,99.0,99.0,1.0,0.0,0
uF0r64impHPYF2OMwV8O9KQPSXTNFGxuduYEqEn4yEM=,5.0,31.0,male,9.0,20060314.0,31.0,2006-03-14,2006.0,3.0,2.0,30.0,149.0,149.0,1.0,0.0,0
U028w1o6gEKrPzWX5M0SRu84Qb8gjzPm0iDKgAyly/c=,1.0,0.0,,7.0,20160330.0,,2016-03-30,2016.0,3.0,1.0,30.0,99.0,99.0,1.0,1.0,1
WBd2bQ3b7fCfX7Hpjj5OoQz8FTMCeZkwuce5OcMcfcU=,,,,,,,,,,1.0,30.0,129.0,129.0,1.0,0.0,0
TBTvTNrZwMVECLGknDdB8Puf/8NGZZpqxvhVu9af1zY=,4.0,18.0,female,3.0,20131207.0,18.0,2013-12-07,2013.0,12.0,1.0,30.0,149.0,149.0,0.0,0.0,0
l4ZDzW0Pi4Uy3WecpF4469M0h2V36enT2eLhPL95a1s=,1.0,0.0,,7.0,20120926.0,,2012-09-26,2012.0,9.0,1.0,30.0,129.0,129.0,1.0,0.0,0
NkIK9i6DQIhv7lMoFrj8Y17URmM11vQNKYWO2CorNlQ=,1.0,0.0,,4.0,20161006.0,,2016-10-06,2016.0,10.0,1.0,30.0,149.0,149.0,0.0,0.0,0
XBlo0QCY4sfu36Ze53P78/7A5nSH4VbE0aex86UFxWQ=,4.0,28.0,male,7.0,20140621.0,28.0,2014-06-21,2014.0,6.0,1.0,30.0,149.0,149.0,1.0,0.0,0
JVnt8PcKZgfZkE1qEse6z8s4Iud3A60Q8cIunxGLqqo=,1.0,0.0,,7.0,20160403.0,,2016-04-03,2016.0,4.0,1.0,30.0,99.0,99.0,1.0,0.0,0
+fBa3X2cURy6RrymmKM113vhLW/jOrh1F+jCoZQ52vc=,1.0,0.0,,7.0,20160511.0,,2016-05-11,2016.0,5.0,1.0,30.0,99.0,99.0,1.0,0.0,0
BPjmW3RXMCccH6iR+e+hXN3Msa8s57K+U6bUwAbcat8=,6.0,35.0,female,9.0,20110911.0,35.0,2011-09-11,2011.0,9.0,1.0,30.0,149.0,149.0,1.0,0.0,0
BjAoNH5Nftj98nt99u5k66Q3XFG0Y46hpMihpnImXRA=,13.0,26.0,female,3.0,20130221.0,26.0,2013-02-21,2013.0,2.0,1.0,90.0,447.0,447.0,0.0,0.0,1
